,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
summaryMetric.exp24hROI.groupedByAll,-0.025648186291754235,-0.025994947043527238,-0.027490895371828968,-0.029263503234114675,-0.030233010528093504,-0.035991112359277766,-0.036544397265059966,-0.038043454492699164,-0.040123014116156236,-0.04120845889336398,-0.045861044789110614,-0.0462287779204274,-0.048292344556356545,-0.051256548732300136,-0.05235656775082278,-0.05212472104266,-0.052559989962748514,-0.05469084042860961,-0.058774198831564275,-0.06006148756410877,-0.05614895105229058,-0.05703320265614145,-0.059214629788999135,-0.06333689011226634,-0.06490140737733151,-0.05829649130762075,-0.059599327242941556,-0.06195984222548437,-0.06506247530827318,-0.061390894278304256
summaryMetric.exp24hROI.results.groupedByEntryType.bullish,-0.04246033530904889,-0.0441073300428369,-0.04785926859170592,-0.05303107352445945,-0.05739091771640953,-0.04851134726515674,-0.051032961059221914,-0.054345478313284595,-0.059101876754995376,-0.06329650676983986,-0.058166711443558644,-0.060082572627087494,-0.06369375978934927,-0.06896538269517763,-0.07339022752680895,-0.06574781354160154,-0.06720748297765607,-0.07127134369476094,-0.07708212813323014,-0.08160733739545233,-0.07286468077651757,-0.07465424265014843,-0.07883215923524425,-0.08482565568793125,-0.08948627146496356,-0.07702652187869746,-0.0791586260566987,-0.08419398007804008,-0.09055149964283093,-0.0941137789675073
summaryMetric.exp24hROI.results.groupedByEntryType.bearish,-0.030898401174654082,-0.029602200772733983,-0.029366988572655746,-0.02792856219970067,-0.0246958640286776,-0.030854779945452354,-0.028671698913349378,-0.028023491772490167,-0.02688316032743514,-0.023726127107974462,-0.03172647918386477,-0.029873689460278408,-0.029856326957328073,-0.02970876953930882,-0.02606530324890202,-0.033494650173835176,-0.03246296986219406,-0.03185055682958564,-0.033523715271003514,-0.030172599840729352,-0.032378473474826724,-0.03196877003962903,-0.03129733001831641,-0.032752027667098706,-0.028891564601304973,-0.03153737149987858,-0.031654157200174664,-0.02991524023667107,-0.02721854672228958,-0.022378684072650888
summaryMetric.exp24hROI.results.groupedByPriceTargetReached.true,0.022210328758837092,0.022499792385745874,0.0226309874974336,0.022830612246166997,0.023077606622254297,0.025125448445677375,0.025364782120766323,0.025536623393596955,0.025605789248125344,0.025919146879315715,0.036814044333171085,0.03698029998253212,0.03715190723133327,0.03712794553327807,0.037242816632869054,0.055670317293152125,0.056093674073314254,0.05647299652190204,0.05649596453395992,0.05663333022502717,0.0793023381677529,0.07969065879769771,0.08009658269456153,0.08011974886500006,0.08032230314620672,0.10491060529027224,0.10525798950467616,0.10569854425755465,0.10533156266484599,0.10290743207818187
summaryMetric.exp24hROI.results.groupedByPriceTargetReached.false,-0.14364898165807838,-0.1625681601857532,-0.1828325423213525,-0.20382178583954663,-0.22452016182856838,-0.1748063483083299,-0.19497917049190105,-0.21616134022919725,-0.23743551403217789,-0.2593957094901006,-0.19767891185106684,-0.21881672889135517,-0.24038677702402284,-0.262007680569022,-0.28395658417229863,-0.20793908540354966,-0.2293250739664596,-0.2509283432647626,-0.2729759024515508,-0.29477705527215525,-0.21361487293558373,-0.23559606765693736,-0.257384851863481,-0.27977101923002656,-0.2793450867421105,-0.21699002868395997,-0.23944989912693837,-0.26184319079501384,-0.26500045178676473,-0.2495816917688345
summaryMetric.meanTradeProfit.groupedByAll,-0.0005343372144115465,-0.0005415613967401508,-0.0005727269869131035,-0.0006096563173773891,-0.000629854386001948,-0.0007498148408182868,-0.0007613416096887493,-0.0007925719685978992,-0.0008358961274199217,-0.0008585095602784164,-0.0009554384331064711,-0.0009630995400089042,-0.0010060905115907614,-0.0010678447652562528,-0.0010907618281421412,-0.00108593168838875,-0.001094999790890594,-0.0011393925089293669,-0.001224462475657589,-0.0012512809909189326,-0.001169769813589387,-0.001188191722002947,-0.0012336381206041486,-0.001319518544005549,-0.0013521126536944065,-0.0012145102355754322,-0.0012416526508946158,-0.0012908300463642577,-0.0013683223007660355,-0.0014224775752937739
summaryMetric.meanTradeProfit.results.groupedByEntryType.bullish,-0.0008845903189385186,-0.0009189027092257688,-0.0009970680956605399,-0.001104814031759572,-0.001195644119091865,-0.0010106530680240988,-0.0010631866887337899,-0.0011321974648600957,-0.0012312890990624037,-0.0013186772243716637,-0.0012118064884074718,-0.0012517202630643227,-0.0013269533289447764,-0.001436778806149534,-0.0015289630734751864,-0.0013697461154500322,-0.0014001558953678347,-0.0014848196603075197,-0.0016058776694422945,-0.0017001528624052567,-0.0015180141828441162,-0.0015552967218780923,-0.0016423366507342552,-0.0017672011601652345,-0.0018642973221867408,-0.0016047192058061973,-0.0016491380428478896,-0.0017540412516258348,-0.0018864895758923111,-0.002015534027445732
summaryMetric.meanTradeProfit.results.groupedByEntryType.bearish,-0.0006437166911386267,-0.0006167125160986246,-0.000611812261930328,-0.0005818450458270973,-0.0005144971672641167,-0.0006428079155302574,-0.0005973270606947787,-0.0005838227452602118,-0.0005600658401548988,-0.000494294314749468,-0.0006609683163305161,-0.0006223685304224668,-0.0006220068116110015,-0.0006189326987356004,-0.000543027151018792,-0.0006978052119548995,-0.0006763118721290429,-0.0006635532672830341,-0.0006984107348125732,-0.0006285958300151948,-0.0006745515307255567,-0.0006660160424922714,-0.0006520277087149252,-0.000682333909731223,-0.0006226430224251726,-0.0006570285729141371,-0.0006594616083369721,-0.0006288989795770295,-0.0006277820536143892,-0.0005747636765716813
summaryMetric.meanTradeProfit.results.groupedByPriceTargetReached.true,0.00046271518247577276,0.00046874567470303906,0.00047147890619653334,0.0004756377551284791,0.00048078347129696454,0.0005234468426182786,0.0005284329608492984,0.0005320129873666032,0.000533453942669278,0.0005399822266524108,0.0007669592569410642,0.0007704229163027524,0.0007739980673194431,0.0007734988652766265,0.000775892013184772,0.0011597982769406693,0.0011686182098607136,0.0011765207608729592,0.001176999261124165,0.0011798610463547327,0.0016521320451615188,0.001660222058285369,0.0016686788061366987,0.0016691614346875012,0.0016733813155459733,0.002185637610214005,0.00219287478134742,0.002202053005365722,0.0021944075555176247,0.002198415686237435
summaryMetric.meanTradeProfit.results.groupedByPriceTargetReached.false,-0.002992687117876633,-0.0033868366705365254,-0.00380901129836151,-0.0042462872049905545,-0.004677503371428508,-0.003641798923090206,-0.004062066051914605,-0.0045033612547749425,-0.004946573209003706,-0.005404077281043762,-0.004118310663563892,-0.004558681851903233,-0.005008057854667142,-0.005458493345187958,-0.005915762170256221,-0.004332064279240618,-0.004777605707634575,-0.005227673818015887,-0.005686997967740641,-0.006141188651503234,-0.004450309852824661,-0.004908251409519528,-0.00536218441382252,-0.005828562900625554,-0.006291673988768273,-0.0045206255975824994,-0.004988539565144549,-0.005455066474896122,-0.005931407318555817,-0.006403510464246387
summaryMetric.meanCandlesToExit.groupedByAll,5.631985180611307,6.752083976535966,7.771843161469592,8.791602346403213,10.03457857363384,7.805708803070268,9.055169105301031,10.155672823219003,11.276565123530826,12.562005277044861,11.013562970936489,12.575888051668468,14.09171151776102,15.513670613562962,17.15651237890206,14.506613478899837,16.60088179718666,18.492336762544603,20.20449296661767,22.28238505143819,18.323112223612835,20.847517730496467,23.10659157279933,25.278055903212323,27.828535669587062,22.102125885785764,25.129845769070425,27.729262192580258,30.284493538974562,33.36598582742806
summaryMetric.meanCandlesToExit.results.groupedByEntryType.bullish,5.217369477911645,6.385542168674692,7.373493975903607,8.339859437751006,9.364457831325305,7.152060824329735,8.419367747098857,9.571428571428566,10.649459783913569,11.665066026410567,10.179869186046519,11.757267441860462,13.333938953488369,14.574491279069758,15.902252906976745,13.270010672358591,15.398078975453561,17.236570615439348,18.743151903237294,20.36712913553893,16.833156216790663,19.335458731845545,21.525327665603964,23.530995394969878,25.590860786397457,20.45522123893807,23.455929203539792,25.9529203539823,28.239292035398204,30.838938053097355
summaryMetric.meanCandlesToExit.results.groupedByEntryType.bearish,6.294306335204492,7.3376102646351224,8.408179631114676,9.51323175621492,11.105052125100245,8.783832335329347,10.006586826347295,11.029940119760465,12.214970059880219,13.90419161676646,12.225567881669317,13.76597992604331,15.193343898573707,16.87902799788694,18.979926043317473,16.28739754098363,18.332991803278702,20.300717213114755,22.30891393442622,25.040471311475407,20.457128361237924,23.013191273465228,25.371385083713825,27.78031456113652,31.03348554033487,24.460212873796245,27.52660922453118,30.272681196148003,33.21287379624936,36.98428788646731
