,segmentId,price,priceChange12h,priceChange24h,priceChangeSegmentPeriod,bestStrategy,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
2022-01-01 00:00:00+00:00,905979023,170.1966082645718,,,,-0.0008927104268185,-0.0008927104268185,-0.0009188468295018,-0.0009067782783227,-0.0008750647332085,-0.0008733807711809,-0.0009052158935667,-0.0009127399566291,-0.000884232450855,-0.0008392183787722,-0.0008161919205733,-0.0008557204922913,-0.0008585214389771,-0.0008249428098836,-0.0007687715443619,-0.0007499596401854,-0.0007918382026481,-0.0007824220585923,-0.0007177100315023,-0.0006443482270941,-0.0006410925809199,-0.0006514272349759,-0.0006131947952772,-0.0005369313303134,-0.0004655317054522,-0.0004715125904259,-0.0006605413951057,-0.0006247164925955,-0.0005564737299291,-0.0004942869214836,-0.0004960137746833
2022-01-01 12:00:00+00:00,905979023,174.54270294400044,0.025535730257753415,,,-0.0008927104268185,-0.0008927104268185,-0.0009188468295018,-0.0009067782783227,-0.0008750647332085,-0.0008733807711809,-0.0009052158935667,-0.0009127399566291,-0.000884232450855,-0.0008392183787722,-0.0008161919205733,-0.0008557204922913,-0.0008585214389771,-0.0008249428098836,-0.0007687715443619,-0.0007499596401854,-0.0007918382026481,-0.0007824220585923,-0.0007177100315023,-0.0006443482270941,-0.0006410925809199,-0.0006514272349759,-0.0006131947952772,-0.0005369313303134,-0.0004655317054522,-0.0004715125904259,-0.0006605413951057,-0.0006247164925955,-0.0005564737299291,-0.0004942869214836,-0.0004960137746833
2022-01-02 00:00:00+00:00,905979023,178.88879762342907,0.02489989329902273,0.05107146051550683,,-0.0008927104268185,-0.0008927104268185,-0.0009188468295018,-0.0009067782783227,-0.0008750647332085,-0.0008733807711809,-0.0009052158935667,-0.0009127399566291,-0.000884232450855,-0.0008392183787722,-0.0008161919205733,-0.0008557204922913,-0.0008585214389771,-0.0008249428098836,-0.0007687715443619,-0.0007499596401854,-0.0007918382026481,-0.0007824220585923,-0.0007177100315023,-0.0006443482270941,-0.0006410925809199,-0.0006514272349759,-0.0006131947952772,-0.0005369313303134,-0.0004655317054522,-0.0004715125904259,-0.0006605413951057,-0.0006247164925955,-0.0005564737299291,-0.0004942869214836,-0.0004960137746833
2022-01-02 12:00:00+00:00,905979023,177.60514875923013,-0.007175680541500929,0.017545539077690554,,-0.0008927104268185,-0.0008927104268185,-0.0009188468295018,-0.0009067782783227,-0.0008750647332085,-0.0008733807711809,-0.0009052158935667,-0.0009127399566291,-0.000884232450855,-0.0008392183787722,-0.0008161919205733,-0.0008557204922913,-0.0008585214389771,-0.0008249428098836,-0.0007687715443619,-0.0007499596401854,-0.0007918382026481,-0.0007824220585923,-0.0007177100315023,-0.0006443482270941,-0.0006410925809199,-0.0006514272349759,-0.0006131947952772,-0.0005369313303134,-0.0004655317054522,-0.0004715125904259,-0.0006605413951057,-0.0006247164925955,-0.0005564737299291,-0.0004942869214836,-0.0004960137746833
2022-01-03 00:00:00+00:00,905979023,176.32149989503122,-0.007227543081755382,-0.0143513610830017,,-0.0008927104268185,-0.0008927104268185,-0.0009188468295018,-0.0009067782783227,-0.0008750647332085,-0.0008733807711809,-0.0009052158935667,-0.0009127399566291,-0.000884232450855,-0.0008392183787722,-0.0008161919205733,-0.0008557204922913,-0.0008585214389771,-0.0008249428098836,-0.0007687715443619,-0.0007499596401854,-0.0007918382026481,-0.0007824220585923,-0.0007177100315023,-0.0006443482270941,-0.0006410925809199,-0.0006514272349759,-0.0006131947952772,-0.0005369313303134,-0.0004655317054522,-0.0004715125904259,-0.0006605413951057,-0.0006247164925955,-0.0005564737299291,-0.0004942869214836,-0.0004960137746833
2022-01-03 12:00:00+00:00,905979023,173.44616938121604,-0.016307316552586864,-0.023416997801410603,,-0.0008927104268185,-0.0008927104268185,-0.0009188468295018,-0.0009067782783227,-0.0008750647332085,-0.0008733807711809,-0.0009052158935667,-0.0009127399566291,-0.000884232450855,-0.0008392183787722,-0.0008161919205733,-0.0008557204922913,-0.0008585214389771,-0.0008249428098836,-0.0007687715443619,-0.0007499596401854,-0.0007918382026481,-0.0007824220585923,-0.0007177100315023,-0.0006443482270941,-0.0006410925809199,-0.0006514272349759,-0.0006131947952772,-0.0005369313303134,-0.0004655317054522,-0.0004715125904259,-0.0006605413951057,-0.0006247164925955,-0.0005564737299291,-0.0004942869214836,-0.0004960137746833
2022-01-04 00:00:00+00:00,905979023,170.57083886740085,-0.016577653597500436,-0.03261463310517373,,-0.0008927104268185,-0.0008927104268185,-0.0009188468295018,-0.0009067782783227,-0.0008750647332085,-0.0008733807711809,-0.0009052158935667,-0.0009127399566291,-0.000884232450855,-0.0008392183787722,-0.0008161919205733,-0.0008557204922913,-0.0008585214389771,-0.0008249428098836,-0.0007687715443619,-0.0007499596401854,-0.0007918382026481,-0.0007824220585923,-0.0007177100315023,-0.0006443482270941,-0.0006410925809199,-0.0006514272349759,-0.0006131947952772,-0.0005369313303134,-0.0004655317054522,-0.0004715125904259,-0.0006605413951057,-0.0006247164925955,-0.0005564737299291,-0.0004942869214836,-0.0004960137746833
2022-01-04 12:00:00+00:00,460417725,169.30516186942629,-0.007420242559506223,-0.023874885946245733,-0.005237744771974317,-0.0005254438138771,-0.0005254438138771,-0.0005126692903256,-0.0004946765030947,-0.0005137583576964,-0.0004797296622297,-0.0004981601219243,-0.0004726486681664,-0.0004423477710971,-0.0004457284732583,-0.0004192705419774,-0.0004803232163207,-0.0004466856835727,-0.0003729488553798,-0.000321619069003,-0.0002490204585779,-0.0003937887844286,-0.0003153131378494,-0.0002057351388534,-0.0001327807083462,-2.472159203754522e-05,-0.0002972241941168,-0.0001943614405843,-2.09520594236726e-05,6.425822924765113e-05,0.0001683031865208,-0.0001960283907997,-6.420662984231265e-05,0.0001244141169609,0.0002171009135786,0.0003267500350151
2022-01-05 00:00:00+00:00,460417725,168.0394848714517,-0.00747571417196793,-0.014840485119012613,-0.03725860756628258,-0.0005254438138771,-0.0005254438138771,-0.0005126692903256,-0.0004946765030947,-0.0005137583576964,-0.0004797296622297,-0.0004981601219243,-0.0004726486681664,-0.0004423477710971,-0.0004457284732583,-0.0004192705419774,-0.0004803232163207,-0.0004466856835727,-0.0003729488553798,-0.000321619069003,-0.0002490204585779,-0.0003937887844286,-0.0003153131378494,-0.0002057351388534,-0.0001327807083462,-2.472159203754522e-05,-0.0002972241941168,-0.0001943614405843,-2.09520594236726e-05,6.425822924765113e-05,0.0001683031865208,-0.0001960283907997,-6.420662984231265e-05,0.0001244141169609,0.0002171009135786,0.0003267500350151
2022-01-05 12:00:00+00:00,460417725,161.87809575918624,-0.03666631754422984,-0.043867924806498496,-0.09509092849990144,-0.0005254438138771,-0.0005254438138771,-0.0005126692903256,-0.0004946765030947,-0.0005137583576964,-0.0004797296622297,-0.0004981601219243,-0.0004726486681664,-0.0004423477710971,-0.0004457284732583,-0.0004192705419774,-0.0004803232163207,-0.0004466856835727,-0.0003729488553798,-0.000321619069003,-0.0002490204585779,-0.0003937887844286,-0.0003153131378494,-0.0002057351388534,-0.0001327807083462,-2.472159203754522e-05,-0.0002972241941168,-0.0001943614405843,-2.09520594236726e-05,6.425822924765113e-05,0.0001683031865208,-0.0001960283907997,-6.420662984231265e-05,0.0001244141169609,0.0002171009135786,0.0003267500350151
2022-01-06 00:00:00+00:00,460417725,155.71670664692078,-0.03806190753214249,-0.07333263508845968,-0.12324215973030347,-0.0005254438138771,-0.0005254438138771,-0.0005126692903256,-0.0004946765030947,-0.0005137583576964,-0.0004797296622297,-0.0004981601219243,-0.0004726486681664,-0.0004423477710971,-0.0004457284732583,-0.0004192705419774,-0.0004803232163207,-0.0004466856835727,-0.0003729488553798,-0.000321619069003,-0.0002490204585779,-0.0003937887844286,-0.0003153131378494,-0.0002057351388534,-0.0001327807083462,-2.472159203754522e-05,-0.0002972241941168,-0.0001943614405843,-2.09520594236726e-05,6.425822924765113e-05,0.0001683031865208,-0.0001960283907997,-6.420662984231265e-05,0.0001244141169609,0.0002171009135786,0.0003267500350151
2022-01-06 12:00:00+00:00,460417725,153.2201656523249,-0.016032582812431598,-0.0534842596600659,-0.13101824937094536,-0.0005254438138771,-0.0005254438138771,-0.0005126692903256,-0.0004946765030947,-0.0005137583576964,-0.0004797296622297,-0.0004981601219243,-0.0004726486681664,-0.0004423477710971,-0.0004457284732583,-0.0004192705419774,-0.0004803232163207,-0.0004466856835727,-0.0003729488553798,-0.000321619069003,-0.0002490204585779,-0.0003937887844286,-0.0003153131378494,-0.0002057351388534,-0.0001327807083462,-2.472159203754522e-05,-0.0002972241941168,-0.0001943614405843,-2.09520594236726e-05,6.425822924765113e-05,0.0001683031865208,-0.0001960283907997,-6.420662984231265e-05,0.0001244141169609,0.0002171009135786,0.0003267500350151
2022-01-07 00:00:00+00:00,460417725,150.72362465772903,-0.016293814746688298,-0.032065165624863196,-0.13100632204534476,-0.0005254438138771,-0.0005254438138771,-0.0005126692903256,-0.0004946765030947,-0.0005137583576964,-0.0004797296622297,-0.0004981601219243,-0.0004726486681664,-0.0004423477710971,-0.0004457284732583,-0.0004192705419774,-0.0004803232163207,-0.0004466856835727,-0.0003729488553798,-0.000321619069003,-0.0002490204585779,-0.0003937887844286,-0.0003153131378494,-0.0002057351388534,-0.0001327807083462,-2.472159203754522e-05,-0.0002972241941168,-0.0001943614405843,-2.09520594236726e-05,6.425822924765113e-05,0.0001683031865208,-0.0001960283907997,-6.420662984231265e-05,0.0001244141169609,0.0002171009135786,0.0003267500350151
2022-01-07 12:00:00+00:00,460417725,143.66846664651928,-0.04680857448346914,-0.06233969898896723,-0.1577196453949263,-0.0005254438138771,-0.0005254438138771,-0.0005126692903256,-0.0004946765030947,-0.0005137583576964,-0.0004797296622297,-0.0004981601219243,-0.0004726486681664,-0.0004423477710971,-0.0004457284732583,-0.0004192705419774,-0.0004803232163207,-0.0004466856835727,-0.0003729488553798,-0.000321619069003,-0.0002490204585779,-0.0003937887844286,-0.0003153131378494,-0.0002057351388534,-0.0001327807083462,-2.472159203754522e-05,-0.0002972241941168,-0.0001943614405843,-2.09520594236726e-05,6.425822924765113e-05,0.0001683031865208,-0.0001960283907997,-6.420662984231265e-05,0.0001244141169609,0.0002171009135786,0.0003267500350151
2022-01-08 00:00:00+00:00,560452713,136.6133086353095,-0.04910721312679028,-0.09361714896693847,-0.19309424989256868,-0.0007526995763812,-0.0007526995763812,-0.0008485467127531,-0.0008866225778656,-0.0009046614573053,-0.000916521601424,-0.0007871916058327,-0.0008514246113069,-0.0008550793367108,-0.0008652312252454,-0.0008492435331661,-0.0007760394190253,-0.0008212625906751,-0.0008186584911737,-0.000841364861329,-0.0008451507866032,-0.0007439228012462,-0.0007890044816404,-0.0007998992345393,-0.0008173573933359,-0.0008046968387824,-0.0008489937399107,-0.0008931987822642,-0.0009108387274923,-0.0009144719004165,-0.0009013810023703,-0.0009353702256192,-0.000965615785933,-0.0009934206523598,-0.0010104512887323,-0.0010010893385552
2022-01-08 12:00:00+00:00,560452713,139.49511177312428,0.021094600274324558,-0.029048509883961432,-0.16986705904367377,-0.0007526995763812,-0.0007526995763812,-0.0008485467127531,-0.0008866225778656,-0.0009046614573053,-0.000916521601424,-0.0007871916058327,-0.0008514246113069,-0.0008550793367108,-0.0008652312252454,-0.0008492435331661,-0.0007760394190253,-0.0008212625906751,-0.0008186584911737,-0.000841364861329,-0.0008451507866032,-0.0007439228012462,-0.0007890044816404,-0.0007998992345393,-0.0008173573933359,-0.0008046968387824,-0.0008489937399107,-0.0008931987822642,-0.0009108387274923,-0.0009144719004165,-0.0009013810023703,-0.0009353702256192,-0.000965615785933,-0.0009934206523598,-0.0010104512887323,-0.0010010893385552
